Time,evolution,corretion
October 2004,4,4
November 2004,0,0
December 2004,4,0
January 2005,5,0
February 2005,1,0
March 2005,0,2
April 2005,1,0
May 2005,0,5
June 2005,13,12
July 2005,4,4
August 2005,6,2
September 2005,0,0
October 2005,0,0
November 2005,0,2
December 2005,0,0
January 2006,2,0
February 2006,2,3
March 2006,1,0
April 2006,0,0
May 2006,3,5
June 2006,0,4
July 2006,16,4
August 2006,2,0
September 2006,1,2
October 2006,0,0
November 2006,2,0
December 2006,6,0
January 2007,8,18
February 2007,7,6
March 2007,2,2
April 2007,9,15
May 2007,9,10
June 2007,0,0
July 2007,0,0
August 2007,2,8
September 2007,0,12
October 2007,13,0
November 2007,0,3
December 2007,0,3
January 2008,0,0
February 2008,0,0
March 2008,0,0
April 2008,3,15
May 2008,6,4
June 2008,0,1
July 2008,6,0
August 2008,3,0
September 2008,0,5
October 2008,10,0
November 2008,2,2
December 2008,1,5
January 2009,18,0
February 2009,1,6
March 2009,2,6
April 2009,13,2
May 2009,2,0
June 2009,2,9
July 2009,1,3
August 2009,3,0
September 2009,3,0
October 2009,4,6
November 2009,11,0
December 2009,8,2
January 2010,0,0
February 2010,0,0
March 2010,0,2
April 2010,0,0
May 2010,2,0
June 2010,2,4
July 2010,0,3
August 2010,0,0
September 2010,0,0
October 2010,0,0
November 2010,1,2
December 2010,1,0
January 2011,0,0
February 2011,2,3
March 2011,0,6
April 2011,0,0
May 2011,1,4
June 2011,0,0
July 2011,0,2
August 2011,0,12
September 2011,2,0
October 2011,1,0
November 2011,1,0
December 2011,6,7
January 2012,0,7
February 2012,0,8
March 2012,5,6
April 2012,0,3
May 2012,0,0
June 2012,0,0
July 2012,0,0
August 2012,0,0
September 2012,0,0
October 2012,0,3
November 2012,9,0
December 2012,0,0
January 2013,2,8
February 2013,2,0
March 2013,0,2
April 2013,10,0
May 2013,0,0
June 2013,0,3
July 2013,42,0
August 2013,0,0
September 2013,0,0
October 2013,0,2
November 2013,0,0
December 2013,3,3
January 2014,5,0
February 2014,2,0
March 2014,0,4
April 2014,0,0
May 2014,0,0
June 2014,0,0
July 2014,5,0
August 2014,0,0
September 2014,12,0
October 2014,0,0
November 2014,3,0
December 2014,0,0
January 2015,0,6
February 2015,0,3
March 2015,7,0
April 2015,0,2
May 2015,0,0
June 2015,0,0
July 2015,0,0
August 2015,0,0
September 2015,0,0
October 2015,2,0
November 2015,0,0
December 2015,0,0
January 2016,0,0
February 2016,2,0
March 2016,0,0
April 2016,0,0
May 2016,0,4
June 2016,0,0
July 2016,0,4
August 2016,2,3
September 2016,2,0
October 2016,0,4
November 2016,0,0
December 2016,0,0
January 2017,0,1
February 2017,0,0
March 2017,0,0
April 2017,0,0
May 2017,0,0
June 2017,0,3
July 2017,0,0
August 2017,0,3
September 2017,14,10
October 2017,0,0
November 2017,0,0
December 2017,0,9
January 2018,0,0
February 2018,0,0
March 2018,0,0
April 2018,3,0
May 2018,3,0
June 2018,0,2
July 2018,0,0
August 2018,0,3
September 2018,0,0
October 2018,0,0
November 2018,0,0
December 2018,0,0
January 2019,0,0
February 2019,3,0
